filename,width,height,class,xmin,ymin,xmax,ymax
im_20.jpg,200,200,beet,143,10,200,66
im_20.jpg,200,200,beet,84,97,198,200
im_1.jpg,200,200,beet,8,23,59,77
im_1.jpg,200,200,beet,42,45,100,113
im_1.jpg,200,200,beet,79,88,154,158
im_4.jpg,200,200,beet,116,3,179,64
im_4.jpg,200,200,beet,159,33,200,95
im_11.jpg,200,200,beet,44,15,122,109
im_11.jpg,200,200,beet,106,71,195,168
im_18.jpg,200,200,beet,95,91,158,195
im_10.jpg,200,200,beet,1,106,73,200
im_7.jpg,200,200,beet,49,1,108,47
im_7.jpg,200,200,beet,99,27,162,87
im_16.jpg,200,200,beet,61,77,104,125
im_16.jpg,200,200,beet,12,146,67,198
im_19.jpg,200,200,beet,47,69,91,102
im_19.jpg,200,200,beet,36,8,78,47
im_2.jpg,200,200,beet,3,1,66,66
im_2.jpg,200,200,beet,48,34,110,98
im_2.jpg,200,200,beet,104,76,158,138
im_2.jpg,200,200,beet,150,101,200,163
im_2.jpg,200,200,beet,1,173,21,200
im_0.jpg,200,200,beet,32,83,113,169
im_0.jpg,200,200,beet,1,6,46,98
im_0.jpg,200,200,beet,149,1,192,17
im_0.jpg,200,200,beet,94,165,130,193
im_21.jpg,200,200,beet,119,72,182,136
im_21.jpg,200,200,beet,97,142,174,200
im_9.jpg,200,200,beet,64,1,164,83
im_9.jpg,200,200,beet,139,46,200,111
im_3.jpg,200,200,beet,10,2,53,47
im_3.jpg,200,200,beet,59,21,112,83
im_3.jpg,200,200,beet,100,52,160,118
im_3.jpg,200,200,beet,154,92,197,151
im_3.jpg,200,200,beet,1,140,58,200
im_17.jpg,200,200,beet,8,35,52,84
im_17.jpg,200,200,beet,150,123,193,184
im_6.jpg,200,200,beet,26,26,136,129
im_6.jpg,200,200,beet,122,124,179,183
im_5.jpg,200,200,beet,6,63,66,166
im_5.jpg,200,200,beet,47,138,139,200
im_5.jpg,200,200,beet,169,1,200,27
im_8.jpg,200,200,beet,9,60,98,162
im_8.jpg,200,200,beet,63,131,157,200
